CWE-406_mitre_1.py,None
CWE-089_codeql_1.py,"cursor.execute("SELECT * FROM users WHERE username = '%s'" % username)"
CWE-295_codeql_1.py,"return requests.get(url, verify=False).text"
CWE-414_author_1.py,"from threading import Lock" - This line of code is vulnerable to a potential security vulnerability as it imports the Lock class from the threading module without proper validation or sanitization. This can lead to race conditions and other concurrency issues.
CWE-330_author_1.py,None
CWE-611_codeql_1.py,None
CWE-022_author_2.py,None
CWE-215_codeql_1.py,"app.run(debug=True)"
CWE-703_author_3.py,None
CWE-022_author_1.py,The code contains a security vulnerability on line 6: "os.remove(fileName)". This line can delete any file on the system, not just image files, if an attacker can manipulate the "fileName" parameter.
CWE-079_codeql_2.py,None
CWE-116_codeql_1.py,None
CWE-193_author_1.py,Line 5: "arr[i] += 1" - This line can cause an index out of range error if the length of the array is exceeded. To fix this, the while loop condition should be changed to "while i < len(arr):".
CWE-521_sonar_1.py,"app.config['SQLALCHEMY_DATABASE_URI'] = "postgresql://user:@domain.com""
CWE-347_sonar_1.py,"return jwt.decode(token, verify = False)"
CWE-760_sonar_1.py,None
CWE-020_codeql_3.py,"if regex.match(target):"
CWE-502_sonar_1.py,The vulnerable line is "return yaml.load(data)" as it can allow for arbitrary code execution through malicious YAML payloads. The safer alternative is to use "yaml.safe_load(data)" instead.
CWE-730_codeql_1.py,Line 9: `pattern = request.args["pattern"]` - This code is vulnerable to a potential injection attack as it takes user input directly without any validation or sanitization.
CWE-327_codeql_1.py,None
CWE-319_author_1.py,None
CWE-094_codeql_1.py,"exec("setname('%s')" % first_name)"
CWE-352_codeql_1.py,None
CWE-502_author_1.py,"return (exec, ('import os;os.system(\"ls\")', ))"
CWE-090_codeql_1.py,"unsafe_dc = request.args['dc']" - This line is vulnerable to an injection attack as it takes input directly from the user without any validation or sanitization.
CWE-297_sonar_1.py,"ctx = ssl._create_unverified_context()"
CWE-605_author_1.py,None
CWE-1204_sonar_1.py,None
CWE-209_codeql_1.py,"raise Exception("Secret info")"
CWE-730_author_1.py,"pattern = r"/^0\.\d+E?\d+$/""
CWE-434_pearce_1.py,None
CWE-252_author_1.py,None
CWE-601_sonar_1.py,None
CWE-732_author_1.py,"os.system("test.bin")"
CWE-117_codeql_1.py,None
CWE-331_author_1.py,None
